product_handle,reviewer_name,reviewer_email,rating,title,body,review_date,picture_urls,reply
round-diamond-solitaire-ring-with-marquise-side-stones,Priya Sharma,priya.sharma@gmail.com,5,Absolutely Stunning!,"I ordered this ring as an engagement ring and it exceeded all expectations. The diamond quality is exceptional and the craftsmanship is flawless. Earthly Jewels really knows how to make you feel special. Highly recommend!",2024-11-10,,
round-diamond-solitaire-ring-with-marquise-side-stones,Ananya Mehta,ananya.mehta@gmail.com,5,Perfect Engagement Ring,"My fiancé proposed with this ring and I was speechless. The marquise side stones add so much elegance. Got so many compliments from family and friends. Worth every rupee!",2024-10-25,,
pear-shape-diamond-vanki-ring,Deepika Nair,deepika.nair@gmail.com,5,Traditional yet Modern,"This vanki ring is the perfect blend of traditional South Indian design with modern diamond brilliance. The pear shaped diamond sits beautifully. Wore it at my cousin's wedding and everyone wanted to know where I bought it from.",2024-12-01,,
pear-shape-diamond-vanki-ring,Kavya Reddy,kavya.reddy@gmail.com,4,Beautiful Craftsmanship,"The ring is beautiful and the quality is very good. Delivery was quick and the packaging was premium. Sizing was accurate as per the size chart. Slightly different shade in sunlight vs artificial light but that is natural for diamonds.",2024-11-18,,
marquise-cut-diamond-ring-with-leaf-design-and-side-accents,Sneha Kapoor,sneha.kapoor@gmail.com,5,Fell in Love with This Ring,"The leaf design on this ring is so unique and delicate. I have never seen anything like it. The marquise diamond in the center looks stunning. Earthly Jewels has become my go-to for all jewellery needs.",2024-10-15,,
marquise-cut-diamond-ring-with-leaf-design-and-side-accents,Ritu Agarwal,ritu.agarwal@gmail.com,5,Unique and Elegant,"Gifted this to my wife on our anniversary and she absolutely loves it. The design is one of a kind and the diamond sparkle is incredible. Customer support was also very helpful in choosing the right size.",2024-09-28,,

oval-cut-diamond-ring-with-marquise-and-round-side-stones,Pooja Iyer,pooja.iyer@gmail.com,5,Dream Ring Come True,"I had been searching for the perfect oval diamond ring for months and this one ticked every box. The combination of oval center with marquise and round side stones is just gorgeous. Earthly Jewels quality is top notch.",2024-11-22,,
oval-cut-diamond-ring-with-marquise-and-round-side-stones,Meera Krishnan,meera.krishnan@gmail.com,4,Gorgeous but Took Time to Arrive,"The ring is absolutely gorgeous and the diamond quality is excellent. Delivery took a bit longer than expected but the customer service team kept me updated throughout. Would definitely order again.",2024-10-08,,
portuguese-round-cut-diamond-ring-with-hidden-halo,Sanya Malhotra,sanya.malhotra@gmail.com,5,The Hidden Halo is Magical,"I was not sure about the hidden halo concept at first but when I saw it in person I was blown away. The way the small diamonds catch the light from underneath is absolutely magical. Best purchase I have ever made.",2024-12-05,,
portuguese-round-cut-diamond-ring-with-hidden-halo,Tanya Bhatia,tanya.bhatia@gmail.com,5,Showstopper Ring,"This ring is a showstopper. Wore it to a formal dinner and it was the centre of attention all evening. The craftsmanship is impeccable and the hidden halo gives it depth that regular rings lack. 10 out of 10!",2024-11-03,,
2-carat-round-solitaire-diamond-ring,Nisha Verma,nisha.verma@gmail.com,5,Worth Every Penny,"A 2 carat solitaire at this price with this quality is unbelievable. The lab grown diamond has the exact same fire and brilliance as a mined diamond. So happy I made the switch to lab grown. Thank you Earthly Jewels!",2024-10-30,,
2-carat-round-solitaire-diamond-ring,Aditi Joshi,aditi.joshi@gmail.com,5,Stunning Statement Piece,"Got this as a self-gift and I have zero regrets. The 2 carat stone is eye-catching without being over the top. The setting is secure and the band feels very solid. Earthly Jewels quality is consistently excellent.",2024-09-15,,
round-diamond-tennis-necklace-with-pear-shaped-pendant,Simran Kaur,simran.kaur@gmail.com,5,Elegant and Timeless,"This necklace is pure elegance. The pear shaped pendant sits beautifully at the neckline and the diamond tennis chain complements it perfectly. Received as a birthday gift from my husband and it brought tears to my eyes.",2024-11-28,,
round-diamond-tennis-necklace-with-pear-shaped-pendant,Ishita Banerjee,ishita.banerjee@gmail.com,4,Gorgeous Necklace,"Very happy with this purchase. The necklace looks even better in person than in the photos. Clasp is sturdy and the diamonds are bright and clear. Packaging was luxurious. Would have given 5 stars but sizing was slightly smaller than expected.",2024-10-20,,
round-diamond-tennis-necklace-with-pear-shaped-pendant,Rhea Pillai,rhea.pillai@gmail.com,5,Perfect for Every Occasion,"I wore this necklace for a wedding and then the next day for office and it worked beautifully for both. The versatility is amazing. Quality is outstanding and I have already recommended Earthly Jewels to all my friends.",2024-08-12,,
